
we
what
whatever
which
whichever
who
whoever
whom
whomever
whose
you
your
yours
yourself
yourselves
one
one another
other
others
our
ours
ourselves
he
her
hers
herself
him
himself
his
neither
no one
nobody
none
nothing
many
me
mine
more
most
much
my
myself
each
each other
either
everybody
everyone
everything
that
their
theirs
them
themselves
these
they
this
those
several
she
some
somebody
someone
something
little
both
all
another
any
anybody
anyone
anything
I
it
its
itself
us
few
a 
an
the
this
that
those
these
my
your
his
her
its
our
their
mine
yours
his
hers
ours
yours
theirs
aboard
about
above
across
after
against
along
amid
among
anti
around
as
at
before
behind
below
beneath
beside
besides
between
beyond
but
by
concerning
considering
despite
down
during
except
excepting
excluding
following
for
from
in
inside
into
like
minus
near
of
off
on
onto
opposite
outside
over
past
per
plus
regarding
round
save
since
than
through
to
toward
towards
under
underneath
unlike
until
up
upon
versus
via
with
within
without
and
but
or
ah
er
alas
hey
hmm
ouch
oh
umm
well
hi
hello
roar
rawr
can
will
please
so
if
maybe
perhaps
piece
west
east
north
south
front
back
friend
together


abandon
ability
able
absence
absolute
absolutely
absorb
accept
access
accident
accompany
accomplish
according
account
accurate
achieve
achievement
acknowledge
acquire
across
act
action
active
activist
activity
actual
actually
adapt
add
addition
additional
address
adjust
administration
administrator
admit
adopt
adult
advance
adventure
advertising
advice
advise
affair
affect
afford
after
afternoon
again
age
agency
agenda
agent
ago
agree
agreement
agricultural
ah
ahead
aid
aim
air
aircraft
airline
airport
album
alive
all
alliance
ally
almost
alone
along
already
also
alter
alternative
although
always
amazing
among
amount
analysis
analyst
analyze
ancient
angle
angry
animal
announce
annual
another
answer
anticipate
any
anybody
anymore
anyone
anything
anyway
anywhere
apart
apparent
appeal
appear
appearance
apple
application
appoint
appointment
appreciate
approach
appropriate
approximately
architect
area
arise
around
arrange
arrival
arrive
art
article
artist
as
ask
asleep
aspect
assault
assert
assess
assessment
asset
assign
assignment
assist
assistance
assistant
associate
association
assume
assumption
assure
athlete
athletic
atmosphere
attach
attempt
attend
attention
attorney
attribute
audience
author
authority
auto
average
avoid
award
aware
awareness
away
back
background
bad
bag
bake
balance
ban
band
bank
barely
barrier
basic
basically
basis
basket
battery
beach
bean
bear
because
become
begin
beginning
behind
being
belief
believe
bell
belong
below
bench
beneath
benefit
beside
besides
best
bet
better
between
beyond
bike
bill
billion
bird
birth
bit
black
blanket
blind
block
blue
board
boat
bond
book
border
born
borrow
both
bottle
bottom
boundary
bowl
brain
branch
brand
bread
break
breakfast
breathe
bridge
brief
briefly
bright
brilliant
bring
broken
brother
brown
brush
budget
build
building
bunch
burden
bus
business
busy
but
butter
button
buy
buyer
cabin
cabinet
cable
calculate
call
camera
camp
campus
can
candidate
capability
capable
capacity
capital
captain
capture
car
carbon
card
care
career
careful
carrier
carry
case
cast
catch
category
cause
ceiling
center
central
century
ceremony
certain
certainly
chain
chair
challenge
champion
championship
chance
change
changing
channel
chapter
character
characteristic
characterize
charge
charity
chart
check
cheese
chef
chip
chocolate
choice
choose
circle
circumstance
cite
citizen
city
civil
civilian
claim
class
classic
classroom
clean
clear
client
climate
climb
clinic
clinical
close
closely
closer
clothes
clothing
cloud
clue
coach
coal
coalition
coast
coat
code
cognitive
cold
collapse
colleague
collect
collection
collective
college
color
column
combination
combine
come
comfort
comfortable
command
comment
commission
commit
commitment
committee
common
communicate
communication
community
compare
comparison
compete
competition
competitive
competitor
complete
completely
complex
complicated
component
compose
composition
comprehensive
computer
concentrate
concentration
concept
concern
concerned
concert
conclude
conclusion
concrete
condition
conduct
conference
confidence
confident
confirm
confront
confusion
connect
connection
consciousness
consensus
conservative
consider
considerable
consideration
consist
consistent
constant
constantly
constitute
construct
construction
consultant
contact
contain
container
contemporary
content
contest
context
continue
continued
contract
contrast
contribute
contribution
convention
conventional
conversation
conviction
convince
cooking
cool
cooperation
cope
core
corn
corner
corporate
corporation
correct
correspondent
cost
cotton
couch
could
council
counselor
count
counter
country
county
couple
courage
course
court
cover
craft
create
creation
creative
creature
credit
crew
crime
criminal
crisis
critic
crop
crowd
crucial
cultural
culture
cup
curious
current
currently
curriculum
custom
customer
cycle
daily
dare
dark
darkness
data
day
dear
debate
debt
decade
decide
decision
deck
declare
decline
decrease
deer
defend
defendant
defense

deficit
define
definitely
definition
degree
delay
demand
demonstrate
demonstration
department
depend
dependent
depending
depict
depression
depth
derive
describe
description
desert
design
designer
desire
desk
despite
detail
detailed
detect
determine
develop
developing
development
device
devote
dialogue
diet
differ
difference
different
differently
difficult
difficulty
dig
digital
dimension
dining
dinner
direct
direction
directly
disappear
discipline
discover
discovery
discuss
discussion
display
distance
distant
distinct
distinction
distinguish
distribute
distribution
district
divide
document
door
double
doubt
down
downtown
dozen
draft
dramatically
draw
drawing
drive
driver
due
during
duty
each
early
earn
earnings
earth
ease
easily
east
eastern
eat
economic
economics
economist
economy
edition
editor
educate
education
educational
educator
effect
effective
effectively
efficiency
efficient
effort
either
elect
election
electricity
electronic
element
elementary
else
elsewhere
emergency
emphasis
emphasize
employ
employee
employer
employment
empty
encounter
encourage
end
energy
engage
engine
engineering
enough
ensure
enter
entirely
entrance
environment
environmental
episode
equal
era
error
escape
especially
essential
essentially
establish
estate
estimate
etc
ethics
evaluate
evaluation
even
evening
event
eventually
ever
every
everybody
everyday
everyone
everything
everywhere
evidence
evolution
evolve
exact
exactly
examination
examine
example
exceed
excellent
except
exception
exchange
exciting
executive
exhibit
exhibition
existing
expand
expansion
expect
expectation
expense
expensive
expert
explain
explanation
explore
expose
exposure
express
expression
extend
extensive
extent
external
extra
extraordinary
eye
fabric
facility
fact
factor
factory
faculty
fade
fair
fairly
familiar
famous
fan
far
farm
farmer
fashion
fate
fault
feature
fee
feed
feel
fellow
fence
few
fewer
fiction
field
fifth
fifty
file
fill
film
final
finally
finance
find
finding
fine
finger
finish
first
fishing
fit
fitness
flag
flee
flight
float
floor
flower
fly
focus
folk
follow
following
food
for
forest
forever
forget
form
formal
formation
former
formula
forth
fortune
forward
found
foundation
founder
fourth
frame
framework
free
freedom
freeze
frequency
frequent
frequently
from
front
fruit
fuel
full
fully
function
fundamental
funny
furniture
furthermore
future
gain
galaxy
gallery
game
garage
garden
garlic
gas
gate
gather
gear
general
generally
generate
generation
gently
get
gift
gifted
give
given
glad
global
glove
go
goal
good
governor
grab
grade
gradually
graduate
grain
grand
grant
gray
great
green
grocery
ground
group
grow
guarantee
guard
guess
guest
guide
guideline
guilty
guy
habit
habitat
hair
half
hall
handful
handle
happen
happy
hardly
hat
have
he
head
headline
headquarters
health
healthy
hear
hearing
heart
heat
heaven
heavily
heavy
heel
height
helicopter
help
helpful
her
here
heritage
hero
herself
hide
highlight
highly
highway
hill
him
himself
hire
his
historian
historic
historical
history
holiday
honest
honor
hope
horizon
horse
hospital
host
hour
housing
how
however
human
humor
hundred
hungry
hunting
hypothesis
idea
ideal
identify
if
ignore
image
imagination
imagine
immediate
immediately
impact
importance
important
impose
impossible
impression
improve
improvement
incentive
include
including
income
incorporate
increase
increased
increasing
incredible
indeed
independence
independent
index
indicate
indication
individual
industrial
influence
inform
information
ingredient
initial
initially
initiative
insight
inspire
install
instance
instead
intellectual
intelligence
intend
intention
interest
interested
interesting
international
Internet
interpret
interpretation
into
introduce
introduction
investigate
investigation
involve
iron
island
join
journal
journalist
journey
joy
judge
judgment
jump
jury
just
keep
key
kind
know
knowledge
lab
lake
land
language
last
late
later
latter
laugh
law
lawsuit
layer
lead
leader
leaf
lean
learn
learning
least
leave
left
legacy
legend
legislation
legitimate
lemon
less
lesson
letter
level
library
license
lifestyle
lift
light
likely
limit
limitation
limited
line
link
listen
literally
literary
literature
loan
local
locate
location
long-term
look
lose
loss
lost
lot
lots
loud
lovely
luck
lucky
lunch
machine
mad
mail
main
mainly
maintain
maintenance
major
majority
make
maker
mall
manage
management
manager
manner
manufacturer
manufacturing
many
map
mark
market
marketing
mass
master
match
material
math
matter
maybe
mayor
meal
meaning
meanwhile
meat
mechanism
media
medicine
medium
meet
meeting
member
membership
memory
mention
menu
merely
mess
message
metal
meter
method
middle
might
million
mine
minister
minute
miracle
mirror
miss
mission
mistake
mix
mixture
mm-hmm
mode
moderate
modern
modest
moment
monitor
month
mood
moon
more
moreover
most
mostly
motion
motivation
motor
mountain
mouse
move
movement
much
museum
music
musical
musician
must
mutual
mystery
myth
name
narrative
nation
national
native
natural
naturally
near
nearby
nearly
necessarily
necessary
need
negative
negotiate
negotiation
neither
net
network
never
nevertheless
new
newly
next
nice
night
no
nod
noise
nomination
none
nonetheless
nor
normal
normally
north
northern
not
note
notice
novel
now
nowhere
number
numerous
object
objective
obligation
observation
observe
observer
obtain
obvious
obviously
occasion
occasionally
occupation
occur
ocean
odds
of
off
offer
office
officer
official
often
oh
oil
ok
okay
old
on
once
one
ongoing
onion
online
only
onto
open
opening
operate
operating
operation
operator
opinion
opponent
opportunity
oppose
opposite
opposition
option
or
orange
order
ordinary
organic
organization
organize
orientation
origin
original
originally
other
others
otherwise
ought
our
ourselves
out
outcome
outside
oven
over
overall
overcome
overlook
owe
own
owner
pace
page
paint
painter
painting
pair
pale
palm
pan
panel
paper
participant
participate
participation
particular
particularly
partly
partner
partnership
pass
passage
passenger
past
patch
path
patient
pattern
pause
payment
PC
peace
peak
peer
penalty
people
pepper
per
perceive
percentage
perception
perfect
perfectly
perform
performance
perhaps
permanent
permission
permit
person
personally
personnel
perspective
persuade
phase
phenomenon
philosophy
phone
photograph
photographer
phrase
physical
physically
physician
piano
pick
picture
pile
pilot
pine
pitch
place
plan
plane
planet
planning
plant
plastic
plate
platform
play
please
plenty
plus
PM
poem
poet
poetry
point
policy
political
politically
politician
politics
poll
pollution
pool
poor
pop
popular
population
porch
port
portion
portrait
portray
pose
positive
possess
possibility
possible
possibly
post
pot
potato
potential
potentially
pound
pour
power
powerful
practical
practice
pray
prayer
precisely
predict
prefer
preference
preparation
prepare
prescription
presence
present
presentation
preserve
press
pressure
pretend
prevent
previous
previously
price
pride
priest
primarily
primary
prime
principal
principle
print
prior
priority
probably
problem
procedure
proceed
process
produce
producer
product
production
profession
professional
professor
profile
profit
program
progress
project
prominent
promise
promote
prompt
proof
proper
properly
property
proportion
proposal
propose
proposed
prosecutor
prospect
protect
protection
protein
protest
proud
prove
provide
provider
province
provision
public
publication
publicly
publish
publisher
pull
purchase
purpose
pursue
push
put
qualify
quality
quarter
question
quick
quickly
quiet
quietly
quit
quite
quote
radio
rain
raise
range
rank
rapid
rapidly
rare
rarely
rather
ratio
reach
react
reaction
read
reader
reading
ready
real
reality
realize
really
reason
reasonable
recall
receive
recent
recently
recipe
recognition
recognize
recommend
recommendation
recording
recover
recovery
recruit
red
reduce
reduction
refer
reference
reflect
reflection
reform
refugee
refuse
regard
regarding
regardless
regime
region
regional
register
regular
regularly
regulate
regulation
reinforce
relate
relatively
relax
relevant
relief
rely
remain
remaining
remarkable
remember
remind
remote
remove
repeat
repeatedly
replace
reply
report
reporter
represent
representation
representative
reputation
request
require
requirement
research
researcher
resemble
reservation
resident
resist
resistance
resolution
resolve
resort
resource
respect
respond
respondent
response
responsibility
responsible
rest
restaurant
restore
restriction
result
retain
retire
retirement
return
reveal
revenue
review
revolution
rice
rid
right
ring
rise
risk
river
road
role
roll
roof
room
root
rose
round
route
routine
rub
rule
run
running
rural
rush
sacred
safe
safety
sake
salad
salary
sale
sales
salt
same
sample
sanction
sand
satellite
satisfaction
sauce
save
saving
say
scale
scared
scenario
scene
schedule
scholar
scholarship
school
science
scientific
scientist
scope
score
scream
screen
script
sea
search
season
seat
second
secret
secretary
section
sector
see
seek
seem
segment
seize
select
selection
self
sell
senator
send
senior
sense
sentence
separate
sequence
series
serious
seriously
serve
session
set
setting
settle
settlement
seven
several
severe
shade
shadow
shake
shall
shape
share
she
sheet
shelf
shell
shelter
shift
shine
ship
shock
shoe
shop
shopping
shore
short
shortly
shot
should
shoulder
shout
show
shrug
side
sigh
sight
sign
signal
significance
significant
significantly
silence
silent
silver
similar
similarly
simple
simply
since
sing
singer
single
