AAMOF
ACK
AFAIK
AFAIR
AFK
AKA
BTK
BTT
BTW
CU
CYS
DIY
EOM
EOT
FAQ
FACK
FKA
FWIW
FYI
HF
HTH
IDK
IIRC
IMHO
IMO
IMNSHO
IOW
ITT
LOL
DGMW
NNTR
noob
NRN
OP
OT
OTOH
POV
ROTFL
RSVP
SFLR
TBA
TBC
TIA
TGIF
THX
TNX
TQ
TYVM
TYT
TTYL
w00t
WFM
WRT
YMMD
YMMV
ICYMI
