dinosaur
star
stardust
carbon
team
scientist
mountain
valley
lake
stream
tree
stone
path
trail
plant
data
oxygen
matter
atom
particle
comet
asteroid
meteor
power
information
beacon
team
role
river
dung
follow
sea
sky
collect
study
look
watch
launch
leave
find
meet
task
